"","V1"
"inaug_GeorgeWashington_1_2",6
"inaug_GeorgeWashington_1_3",6
"inaug_GeorgeWashington_1_4",6
"inaug_GeorgeWashington_1_5",6
"inaug_GeorgeWashington_1_6",6
"inaug_GeorgeWashington_1_7",4
"inaug_GeorgeWashington_1_8",7
"inaug_GeorgeWashington_1_9",8
"inaug_GeorgeWashington_1_10",6
"inaug_GeorgeWashington_1_11",6
"inaug_GeorgeWashington_1_12",15
"inaug_GeorgeWashington_1_13",15
"inaug_GeorgeWashington_1_14",6
"inaug_GeorgeWashington_1_15",6
"inaug_GeorgeWashington_1_16",6
"inaug_GeorgeWashington_1_17",6
"inaug_GeorgeWashington_1_18",6
"inaug_GeorgeWashington_1_19",6
"inaug_GeorgeWashington_1_20",6
"inaug_GeorgeWashington_1_21",6
"inaug_GeorgeWashington_1_22",4
"inaug_GeorgeWashington_1_23",6
"inaug_GeorgeWashington_1_24",6
"inaug_GeorgeWashington_1_25",6
"inaug_GeorgeWashington_1_26",6
"inaug_GeorgeWashington_1_27",4
"inaug_GeorgeWashington_1_28",4
"inaug_GeorgeWashington_1_29",15
"inaug_GeorgeWashington_1_30",6
"inaug_GeorgeWashington_2_2",4
"inaug_GeorgeWashington_2_3",4
"inaug_JohnAdams_1_2",6
"inaug_JohnAdams_1_3",6
"inaug_JohnAdams_1_4",6
"inaug_JohnAdams_1_5",6
"inaug_JohnAdams_1_6",6
"inaug_JohnAdams_1_7",6
"inaug_JohnAdams_1_8",6
"inaug_JohnAdams_1_9",6
"inaug_JohnAdams_1_10",6
"inaug_JohnAdams_1_11",7
"inaug_JohnAdams_1_12",6
"inaug_JohnAdams_1_13",6
"inaug_JohnAdams_1_14",6
"inaug_JohnAdams_1_15",15
"inaug_JohnAdams_1_16",6
"inaug_JohnAdams_1_17",6
"inaug_JohnAdams_1_18",6
"inaug_JohnAdams_1_19",6
"inaug_JohnAdams_1_20",6
"inaug_JohnAdams_1_21",13
"inaug_JohnAdams_1_22",6
"inaug_JohnAdams_1_23",6
"inaug_JohnAdams_1_24",6
"inaug_JohnAdams_1_25",6
"inaug_JohnAdams_1_26",6
"inaug_JohnAdams_1_27",6
"inaug_JohnAdams_1_28",13
"inaug_JohnAdams_1_29",8
"inaug_JohnAdams_1_30",7
"inaug_JohnAdams_1_31",6
"inaug_JohnAdams_1_32",6
"inaug_JohnAdams_1_33",6
"inaug_JohnAdams_1_34",6
"inaug_JohnAdams_1_35",12
"inaug_JohnAdams_1_36",4
"inaug_JohnAdams_1_37",6
"inaug_JohnAdams_1_38",8
"inaug_JohnAdams_1_39",6
"inaug_JohnAdams_1_40",6
"inaug_JohnAdams_1_41",6
"inaug_JohnAdams_1_42",6
"inaug_JohnAdams_1_43",6
"inaug_JohnAdams_1_44",12
"inaug_JohnAdams_1_45",7
"inaug_JohnAdams_1_46",6
"inaug_JohnAdams_1_47",6
"inaug_JohnAdams_1_48",6
"inaug_JohnAdams_1_49",6
"inaug_JohnAdams_1_50",6
"inaug_JohnAdams_1_51",4
"inaug_JohnAdams_1_52",4
"inaug_JohnAdams_1_53",4
"inaug_JohnAdams_1_54",4
"inaug_ThomasJefferson_1_2",4
"inaug_ThomasJefferson_1_3",4
"inaug_ThomasJefferson_1_4",6
"inaug_ThomasJefferson_1_5",6
"inaug_ThomasJefferson_1_6",6
"inaug_ThomasJefferson_1_7",15
"inaug_ThomasJefferson_1_8",15
"inaug_ThomasJefferson_1_9",13
"inaug_ThomasJefferson_1_10",6
"inaug_ThomasJefferson_1_11",12
"inaug_ThomasJefferson_1_12",12
"inaug_ThomasJefferson_1_13",6
"inaug_ThomasJefferson_1_14",6
"inaug_ThomasJefferson_1_15",6
"inaug_ThomasJefferson_1_16",6
"inaug_ThomasJefferson_1_17",6
"inaug_ThomasJefferson_1_18",6
"inaug_ThomasJefferson_1_19",12
"inaug_ThomasJefferson_1_20",12
"inaug_ThomasJefferson_1_21",13
"inaug_ThomasJefferson_1_22",13
"inaug_ThomasJefferson_1_23",13
"inaug_ThomasJefferson_1_24",8
"inaug_ThomasJefferson_1_25",8
"inaug_ThomasJefferson_1_26",2
"inaug_ThomasJefferson_1_27",2
"inaug_ThomasJefferson_1_28",6
"inaug_ThomasJefferson_1_29",6
