"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","tax","america","war","shall","presid","union","state","govern","will","year","work","world","can","know","law"
"2","busi","american","forc","best","parti","may","unit","power","countri","time","job","must","peopl","want","congress"
"3","industri","new","defens","respons","republican","interest","great","public","take","one","help","nation","right","like","constitut"
"4","product","let","nation","faith","democrat","spirit","polici","upon","immigr","now","famili","peac","everi","just","question"
"5","economi","futur","problem","peopl","say","part","nation","peopl","never","first","children","freedom","believ","thing","execut"
"6","econom","chang","need","honor","great","preserv","import","state","bring","day","make","human","men","think","shall"
"7","increas","togeth","well","support","thank","everi","foreign","system","place","last","care","hope","make","way","without"
"8","pay","promis","face","call","friend","countri","countri","action","now","much","home","strength","life","dont","legisl"
"9","labor","today","now","great","tonight","happi","trade","control","offic","histori","give","justic","citizen","say","secur"
"10","program","build","never","duti","elect","present","respect","feder","administr","ago","school","progress","free","that","upon"
"11","reduc","generat","militari","servic","proud","exist","part","principl","leav","still","valu","peopl","equal","get","may"
"12","million","old","also","offic","polit","principl","resourc","general","come","two","american","seek","man","tell","made"
"13","provid","centuri","strong","god","leader","common","secur","becom","mani","done","love","liberti","just","mani","administr"
"14","cost","better","arm","confid","convent","polit","protect","purpos","stop","mani","need","caus","american","peopl","order"
"15","propos","see","danger","may","member","opinion","extend","direct","put","past","young","live","women","ive","protect"
"16","energi","look","meet","trust","accept","object","independ","whole","reform","long","good","free","see","back","reason"
"17","money","challeng","use","high","hous","patriot","interest","use","includ","anoth","educ","secur","opportun","happen","necessari"
"18","cut","stand","middl","sens","vote","form","improv","hand","crime","come","live","toward","person","well","enforc"
"19","tariff","begin","nuclear","good","word","liberti","develop","local","citi","sinc","learn","ideal","whether","talk","effect"
"20","wage","ask","even","purpos","campaign","desir","establish","interest","illeg","ever","worker","democraci","choic","someth","issu"
