President,File,Term,Party,Date,Words,Win
Hillary Clinton,HillaryClinton,1,Democratic,NA,5389,no
Barack Obama,BarackObama,2,Democratic,NA,4474,yes
Barack Obama,BarackObama,1,Democratic,NA,4652,Yes
John F. Kerry,JohnFKerry,1,Democratic,NA,5166,No
"Albert Gore, Jr.","AlbertGore,Jr",1,Democratic,NA,5755,No
William J. Clinton,WilliamJClinton,2,Democratic,NA,6997,Yes
William J. Clinton,WilliamJClinton,1,Democratic,NA,4435,Yes
Michael Dukakis,MichaelDukakis,1,Democratic,NA,3316,No
Walter F. Mondale,WalterFMondale,1,Democratic,NA,2418,No
Jimmy Carter,JimmyCarter,2,Democratic,NA,4655,No
Jimmy Carter,JimmyCarter,1,Democratic,NA,2932,Yes
George McGovern,GeorgeMcGovern,1,Democratic,NA,2600,No
Hubert H. Humphrey,HubertHHumphrey,1,Democratic,NA,3839,No
Lyndon B. Johnson,LyndonBJohnson,1,Democratic,NA,2297,No
John F. Kennedy,JohnFKennedy,1,Democratic,NA,2560,Yes
Adlai Stevenson,AdlaiStevenson,2,Democratic,NA,3045,No
Adlai Stevenson,AdlaiStevenson,1,Democratic,NA,1723,No
Harry S. Truman,HarrySTruman,1,Democratic,NA,2688,Yes
Franklin D. Roosevelt,FranklinDRoosevelt,4,Democratic,NA,1769,Yes
Franklin D. Roosevelt,FranklinDRoosevelt,3,Democratic,NA,3525,Yes
Franklin D. Roosevelt,FranklinDRoosevelt,2,Democratic,NA,1998,Yes
Franklin D. Roosevelt,FranklinDRoosevelt,1,Democratic,NA,4309,Yes
Al Smith,AlSmith,1,Democratic,NA,8302,No
Woodrow Wilson,WoodrowWilson,1,Democratic,NA,5522,Yes
Donald J. Trump,DonaldJTrump,1,Republican,NA,5092,Yes
Mitt Romney,MittRomney,1,Republican,NA,4087,No
John McCain,JohnMcCain,1,Republican,NA,4340,No
George W. Bush,GeorgeWBush,2,Republican,NA,5011,Yes
George W. Bush,GeorgeWBush,1,Republican,NA,4109,Yes
Robert Dole,RobertDole,1,Republican,NA,5771,No
George Bush,GeorgeBush,2,Republican,NA,4867,No
George Bush,GeorgeBush,1,Republican,NA,4469,Yes
Ronald Reagan,RonaldReagan,2,Republican,NA,5060,Yes
Ronald Reagan,RonaldReagan,1,Republican,NA,4640,Yes
Gerald R. Ford,GeraldRFord,0,Republican,NA,2895,No
Richard Nixon,RichardNixon,2,Republican,NA,4348,yes
Richard Nixon,RichardNixon,1,Republican,NA,4664,Yes
Barry Goldwater,BarryGoldwater,1,Republican,NA,3186,No
Richard Nixon,RichardNixon,0,Republican,NA,5356,No
Dwight D. Eisenhower,DwightDEisenhower,2,Republican,NA,4342,Yes
Dwight D. Eisenhower,DwightDEisenhower,1,Republican,NA,1131,Yes
Thomas E. Dewey,ThomasEDewey,2,Republican,NA,1371,No
Thomas E. Dewey,ThomasEDewey,1,Republican,NA,2293,No
Wendell L. Willkie,WendellLWillkie,1,Republican,NA,5588,No
Herbert Hoover,HerbertHoover,2,Republican,NA,no,No
Herbert Hoover,HerbertHoover,1,Republican,NA,7241,Yes
Warren G. Harding,WarrenGHarding,1,Republican,NA,6833,yes
Charles E. Hughes,CharlesEHughes,1,Republican,NA,yes,No
William Howard Taft,WilliamHowardTaft,1,Republican,NA,"12,055",yes
William McKinley,WilliamMcKinley,1,Republican,NA,2016,Yes
Benjamin Harrison,BenjaminHarrison,2,Republican,NA,yes,No
Benjamin Harrison,BenjaminHarrison,1,Republican,NA,yes,Yes
James A. Garfield,JamesAGarfield,1,Republican,NA,yes,Yes
Abraham Lincoln,AbrahamLincoln,1,Republican,NA,yes,Yes
