President,File,Term,Party,Date,Words,Win
George Washington,GeorgeWashington,NA,NA,"September 19, 1796",6073,Yes
Andrew Jackson,AndrewJackson,NA,Democratic,"March 4, 1837",8247,Yes
Harry S. Truman,HarrySTruman,NA,Democratic,"January 15, 1953",3748,Yes
Dwight D. Eisenhower,DwightDEisenhower,NA,Republican,"January 17, 1961",1843,Yes
Lyndon B. Johnson *(1),LyndonBJohnson,NA,Democratic,"January 14, 1969",4146,Yes
Richard Nixon *(2),RichardNixon,NA,Republican,"August 8, 1974",1796,Yes
Gerald R. Ford *(3),GeraldRFord,NA,Republican,"January 12, 1977",4724,Yes
Jimmy Carter,JimmyCarter,NA,Democratic,"January 14, 1981",2167,Yes
Ronald Reagan,RonaldReagan,NA,Republican,"January 11, 1989",3305,Yes
George Bush,GeorgeBush,NA,Republican,"January 5, 1993",3298,Yes
William J. Clinton,WilliamJClinton,NA,Democratic,"January 18, 2001",1109,Yes
George W. Bush,GeorgeWBush,NA,Republican,"January 15, 2009",1862,Yes
Barack Obama,BarackObama,NA,Democratic,"January 10, 2017",4751,Yes
