STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,DAPR,MDPR,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-05-01,2.46,,,,0.00,,0.0,0.0,,56,50,,,1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-05-02,2.68,,,,0.01,,0.0,0.0,,78,50,,,1,,,,,,1,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-05-03,2.46,,,,0.06,,0.0,0.0,,56,50,,,1,,1,,,,1,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-05-04,1.12,,,,0.11,,0.0,0.0,,71,53,,,1,,,,,,1,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-05-05,7.16,,,,1.31,,0.0,0.0,,58,51,,,1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-05-06,4.03,,,,0.00,,0.0,0.0,,74,51,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-05-07,1.34,,,,0.11,,0.0,0.0,,70,52,,,1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-05-08,4.47,,,,0.00,,0.0,0.0,,71,55,,,1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-05-09,5.59,,,,0.00,,0.0,0.0,,61,53,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-05-10,1.57,,,,0.04,,0.0,0.0,,73,56,,,1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-05-11,3.13,,,,0.04,,0.0,0.0,,69,56,,,1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-05-12,8.50,,,,1.32,,0.0,0.0,,59,43,,,1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-05-13,5.59,,,,0.70,,0.0,0.0,,48,42,,,1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-05-14,2.24,,,,0.30,,0.0,0.0,,52,44,,,1,,,,,,,,
